latest.student.size,school.name,school.state,id
32323,The University of Alabama,AL,100751
25732,Auburn University,AL,100858
12118,University of Alabama at Birmingham,AL,100663
6650,University of Alabama in Huntsville,AL,100706
5726,Alabama A & M University,AL,100654
4714,Coastal Alabama Community College,AL,101161
4413,George C Wallace State Community College-Hanceville,AL,101295
3619,Gadsden State Community College,AL,101240
3322,Alabama State University,AL,100724
3053,George C Wallace Community College-Dothan,AL,101286
2693,Auburn University at Montgomery,AL,100830
2407,Athens State University,AL,100812
1555,Faulkner University,AL,101189
1476,Enterprise State Community College,AL,101143
1134,Central Alabama Community College,AL,100760
1044,Chattahoochee Valley Community College,AL,101028
713,Birmingham-Southern College,AL,100937
302,South University-Montgomery,AL,101116
226,Amridge University,AL,100690
39,New Beginning College of Cosmetology,AL,101277
